date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:17	116/116	---MC-	200	added ('OK')	text/plain	date:Sun,%2002%20Oct%202022%2012:38:20%20GMT	https://digikongnft.com/robots.txt		(from )
19:38:18	192557/192557	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2012:38:21%20GMT	https://digikongnft.com/	C:/Users/HP/Downloads/NFT/digikongnft.com/index.html	(from )
19:38:19	40517/40517	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Sep%202022%2018:57:39%20GMT	https://digikongnft.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.9.2	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/themes/astra/assets/css/minified/main.min2e46.css	(from https://digikongnft.com/)
19:38:19	1079/1079	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2011%20Sep%202022%2000:05:28%20GMT	https://digikongnft.com/feed/	C:/Users/HP/Downloads/NFT/digikongnft.com/feed/index.html	(from https://digikongnft.com/)
19:38:19	763/763	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2011%20Sep%202022%2000:05:28%20GMT	https://digikongnft.com/sample-page/feed/	C:/Users/HP/Downloads/NFT/digikongnft.com/sample-page/feed/index.html	(from https://digikongnft.com/)
19:38:20	764/764	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2011%20Sep%202022%2000:05:28%20GMT	https://digikongnft.com/comments/feed/	C:/Users/HP/Downloads/NFT/digikongnft.com/comments/feed/index.html	(from https://digikongnft.com/)
19:38:20	2731/2731	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Sep%202022%2020:05:50%20GMT	https://digikongnft.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.3	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/contact-form-7/includes/css/styles42f0.css	(from https://digikongnft.com/)
19:38:20	882/882	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Sep%202022%2018:57:39%20GMT	https://digikongnft.com/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min.css?ver=3.9.2	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min2e46.css	(from https://digikongnft.com/)
19:38:21	88932/88932	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Jul%202022%2020:57:04%20GMT	https://digikongnft.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-includes/css/dist/block-library/style.min5b21.css	(from https://digikongnft.com/)
19:38:21	639/639	---M--	200	added ('OK')	text/css	date:Tue,%2002%20Aug%202022%2019:02:44%20GMT	https://digikongnft.com/wp-content/plugins/visual-link-preview/dist/public.css?ver=2.2.4	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/visual-link-preview/dist/publicac31.css	(from https://digikongnft.com/)
19:38:21	19279/19279	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min91ce.css	(from https://digikongnft.com/)
19:38:21	780048/780048	---M--	200	added ('OK')	image/png	date:Sat,%2021%20May%202022%2013:19:07%20GMT	https://digikongnft.com/wp-content/uploads/2022/05/digikong-site-bg5.png	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/uploads/2022/05/digikong-site-bg5.png	(from https://digikongnft.com/)
19:38:22	2565/2565	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Jun%202022%2010:35:01%20GMT	https://digikongnft.com/wp-content/uploads/elementor/css/post-6.css?ver=1655116501	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/uploads/elementor/css/post-62736.css	(from https://digikongnft.com/)
19:38:22	48449/48449	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Jun%202022%2010:35:02%20GMT	https://digikongnft.com/wp-content/uploads/elementor/css/global.css?ver=1655116502	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/uploads/elementor/css/global0639.css	(from https://digikongnft.com/)
